step,tag,value
63,Train/Loss_step,3.014512538909912
64,Train/Loss_step,2.9434330463409424
64,Train/Loss_step,2.9979703426361084
65,Train/Loss_step,2.9818825721740723
65,Train/Loss_step,2.907297134399414
66,Train/Loss_step,2.9313738346099854
66,Train/Loss_step,2.983839511871338
67,Train/Loss_step,2.9302284717559814
67,Train/Loss_step,2.910123109817505
68,Train/Loss_step,2.9440736770629883
68,Train/Loss_step,2.9546124935150146
69,Train/Loss_step,2.9536962509155273
69,Train/Loss_step,2.90328049659729
70,Train/Loss_step,2.9677422046661377
70,Train/Loss_step,2.9406495094299316
71,Train/Loss_step,2.9554758071899414
71,Train/Loss_step,2.9136297702789307
72,Train/Loss_step,2.9414660930633545
72,Train/Loss_step,2.9076311588287354
73,Train/Loss_step,2.8871941566467285
73,Train/Loss_step,2.9110300540924072
74,Train/Loss_step,2.8667728900909424
74,Train/Loss_step,2.918412923812866
75,Train/Loss_step,2.890986204147339
75,Train/Loss_step,2.898297071456909
76,Train/Loss_step,2.892491579055786
76,Train/Loss_step,2.904597759246826
77,Train/Loss_step,2.9068074226379395
77,Train/Loss_step,2.914588689804077
78,Train/Loss_step,2.85180926322937
78,Train/Loss_step,2.896496534347534
79,Train/Loss_step,2.9010560512542725
79,Train/Loss_step,2.8290250301361084
80,Train/Loss_step,2.8562557697296143
80,Train/Loss_step,2.8487768173217773
81,Train/Loss_step,2.899831533432007
81,Train/Loss_step,2.8188235759735107
82,Train/Loss_step,2.9049954414367676
82,Train/Loss_step,2.8249804973602295
83,Train/Loss_step,2.863668203353882
83,Train/Loss_step,2.8860480785369873
84,Train/Loss_step,2.7940292358398438
84,Train/Loss_step,2.882382869720459
85,Train/Loss_step,2.8574275970458984
85,Train/Loss_step,2.87795090675354
86,Train/Loss_step,2.8227498531341553
86,Train/Loss_step,2.8588879108428955
87,Train/Loss_step,2.88053560256958
87,Train/Loss_step,2.7997965812683105
88,Train/Loss_step,2.8455681800842285
88,Train/Loss_step,2.801755428314209
89,Train/Loss_step,2.8603787422180176
89,Train/Loss_step,2.793592929840088
90,Train/Loss_step,2.8010826110839844
90,Train/Loss_step,2.8028194904327393
91,Train/Loss_step,2.838259220123291
91,Train/Loss_step,2.822233200073242
92,Train/Loss_step,2.8624656200408936
92,Train/Loss_step,2.809814453125
93,Train/Loss_step,2.8137121200561523
93,Train/Loss_step,2.832136392593384
94,Train/Loss_step,2.838139295578003
94,Train/Loss_step,2.797886371612549
95,Train/Loss_step,2.834731340408325
95,Train/Loss_step,2.782155752182007
96,Train/Loss_step,2.795635938644409
96,Train/Loss_step,2.8269741535186768
97,Train/Loss_step,2.786564826965332
97,Train/Loss_step,2.8079707622528076
98,Train/Loss_step,2.8088173866271973
98,Train/Loss_step,2.791569232940674
99,Train/Loss_step,2.844292402267456
99,Train/Loss_step,2.823549747467041
100,Train/Loss_step,2.8044886589050293
100,Train/Loss_step,2.7707741260528564
101,Train/Loss_step,2.7678351402282715
101,Train/Loss_step,2.8166706562042236
102,Train/Loss_step,2.810343027114868
102,Train/Loss_step,2.7966902256011963
103,Train/Loss_step,2.772402286529541
103,Train/Loss_step,2.791506052017212
104,Train/Loss_step,2.782165288925171
104,Train/Loss_step,2.798534393310547
105,Train/Loss_step,2.7434322834014893
105,Train/Loss_step,2.7878293991088867
106,Train/Loss_step,2.8062050342559814
106,Train/Loss_step,2.7982735633850098
107,Train/Loss_step,2.773599863052368
107,Train/Loss_step,2.7461204528808594
108,Train/Loss_step,2.82566237449646
108,Train/Loss_step,2.785950183868408
109,Train/Loss_step,2.8046083450317383
109,Train/Loss_step,2.8115346431732178
110,Train/Loss_step,2.761279821395874
110,Train/Loss_step,2.8126230239868164
111,Train/Loss_step,2.7767553329467773
111,Train/Loss_step,2.7789885997772217
112,Train/Loss_step,2.7866969108581543
112,Train/Loss_step,2.7451095581054688
113,Train/Loss_step,2.7902767658233643
113,Train/Loss_step,2.8177051544189453
114,Train/Loss_step,2.8062632083892822
114,Train/Loss_step,2.7961947917938232
115,Train/Loss_step,2.7974865436553955
115,Train/Loss_step,2.7895214557647705
116,Train/Loss_step,2.7763915061950684
116,Train/Loss_step,2.7411739826202393
117,Train/Loss_step,2.8011417388916016
117,Train/Loss_step,2.7560479640960693
118,Train/Loss_step,2.7954299449920654
118,Train/Loss_step,2.7958219051361084
119,Train/Loss_step,2.7225921154022217
119,Train/Loss_step,2.753504753112793
120,Train/Loss_step,2.7436389923095703
120,Train/Loss_step,2.6985254287719727
121,Train/Loss_step,2.7542827129364014
121,Train/Loss_step,2.7094202041625977
122,Train/Loss_step,2.737297534942627
122,Train/Loss_step,2.7565126419067383
123,Train/Loss_step,2.8258912563323975
123,Train/Loss_step,2.7846150398254395
124,Train/Loss_step,2.7615299224853516
124,Train/Loss_step,2.7248497009277344
125,Train/Loss_step,2.783137798309326
125,Train/Loss_step,2.7283732891082764
126,Train/Loss_step,2.824188232421875
126,Train/Loss_step,2.7553417682647705
127,Train/Loss_step,2.7680420875549316
127,Train/Loss_step,2.7596333026885986
128,Train/Loss_step,2.7200310230255127
128,Train/Loss_step,2.7694358825683594
129,Train/Loss_step,2.7542712688446045
129,Train/Loss_step,2.7746775150299072
130,Train/Loss_step,2.7648448944091797
130,Train/Loss_step,2.7457456588745117
131,Train/Loss_step,2.760671377182007
131,Train/Loss_step,2.7255618572235107
132,Train/Loss_step,2.7350082397460938
132,Train/Loss_step,2.823040246963501
133,Train/Loss_step,2.8114936351776123
133,Train/Loss_step,2.7336573600769043
134,Train/Loss_step,2.7512190341949463
134,Train/Loss_step,2.8020317554473877
135,Train/Loss_step,2.7997636795043945
135,Train/Loss_step,2.7403104305267334
136,Train/Loss_step,2.760498523712158
136,Train/Loss_step,2.796481132507324
137,Train/Loss_step,2.7549567222595215
137,Train/Loss_step,2.7557413578033447
138,Train/Loss_step,2.7526564598083496
138,Train/Loss_step,2.769296646118164
139,Train/Loss_step,2.7972216606140137
139,Train/Loss_step,2.750805139541626
140,Train/Loss_step,2.79374361038208
140,Train/Loss_step,2.753688335418701
141,Train/Loss_step,2.7374343872070312
141,Train/Loss_step,2.782912015914917
142,Train/Loss_step,2.7616989612579346
142,Train/Loss_step,2.812185764312744
143,Train/Loss_step,2.74373722076416
143,Train/Loss_step,2.74350905418396
144,Train/Loss_step,2.7140369415283203
144,Train/Loss_step,2.7508630752563477
145,Train/Loss_step,2.780474901199341
145,Train/Loss_step,2.775663137435913
